"No.","Time","Source","Destination","MAC src","Protocol","Length","MAC dst","Info"
"142","0.032498099","4e:83:fc:5d:2f:1f","Broadcast","4e:83:fc:5d:2f:1f","ARP","60","ff:ff:ff:ff:ff:ff","Who has 12.12.0.12? Tell 12.12.0.1"
"143","0.032591643","9e:76:f9:99:36:a3","4e:83:fc:5d:2f:1f","9e:76:f9:99:36:a3","ARP","60","4e:83:fc:5d:2f:1f","12.12.0.12 is at 9e:76:f9:99:36:a3"
"144","0.032765306","10.10.0.1","12.12.0.12","4e:83:fc:5d:2f:1f","TCP","74","9e:76:f9:99:36:a3","[TCP Retransmission] 60712  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2356592128 TSecr=0 WS=128"
"145","0.032860323","12.12.0.12","10.10.0.1","9e:76:f9:99:36:a3","TCP","74","4e:83:fc:5d:2f:1f","[TCP Retransmission] 80  >  60712 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=3927818970 TSecr=2356592128 WS=128"
"146","0.033880182","10.10.0.1","12.12.0.12","4e:83:fc:5d:2f:1f","TCP","66","9e:76:f9:99:36:a3","60712  >  80 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2356592129 TSecr=3927818970"
"147","0.034973037","10.10.0.1","12.12.0.12","4e:83:fc:5d:2f:1f","TCP","463","9e:76:f9:99:36:a3","[TCP Retransmission] 60712  >  80 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=397 TSval=2356592129 TSecr=3927818970"
"148","0.035410551","12.12.0.12","10.10.0.1","9e:76:f9:99:36:a3","TCP","66","4e:83:fc:5d:2f:1f","80  >  60712 [ACK] Seq=1 Ack=398 Win=64768 Len=0 TSval=3927818972 TSecr=2356592129"
"149","0.035509085","12.12.0.12","10.10.0.1","9e:76:f9:99:36:a3","TCP","891","4e:83:fc:5d:2f:1f","[TCP Retransmission] 80  >  60712 [PSH, ACK] Seq=1 Ack=398 Win=64768 Len=825 TSval=3927818972 TSecr=2356592129"
"150","0.035611105","12.12.0.12","10.10.0.1","9e:76:f9:99:36:a3","TCP","66","4e:83:fc:5d:2f:1f","[TCP Retransmission] 80  >  60712 [FIN, ACK] Seq=826 Ack=398 Win=64768 Len=0 TSval=3927818972 TSecr=2356592129"
"151","0.036906386","10.10.0.1","12.12.0.12","4e:83:fc:5d:2f:1f","TCP","66","9e:76:f9:99:36:a3","[TCP Keep-Alive] 60712  >  80 [ACK] Seq=398 Ack=826 Win=64128 Len=0 TSval=2356592132 TSecr=3927818972"
"152","0.037263231","10.10.0.1","12.12.0.12","4e:83:fc:5d:2f:1f","TCP","66","9e:76:f9:99:36:a3","[TCP Retransmission] 60712  >  80 [FIN, ACK] Seq=398 Ack=826 Win=64128 Len=0 TSval=2356592132 TSecr=3927818972"
"153","0.037357617","12.12.0.12","10.10.0.1","9e:76:f9:99:36:a3","TCP","66","4e:83:fc:5d:2f:1f","80  >  60712 [ACK] Seq=827 Ack=399 Win=64768 Len=0 TSval=3927818975 TSecr=2356592132"
"154","0.046569027","10.10.0.1","12.12.0.12","4e:83:fc:5d:2f:1f","TCP","66","9e:76:f9:99:36:a3","60712  >  80 [ACK] Seq=399 Ack=827 Win=64128 Len=0 TSval=2356592132 TSecr=3927818972"
"155","0.062679354","10.10.0.1","12.12.0.12","4e:83:fc:5d:2f:1f","TCP","74","9e:76:f9:99:36:a3","[TCP Retransmission] 60720  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2356592158 TSecr=0 WS=128"
"156","0.062764091","12.12.0.12","10.10.0.1","9e:76:f9:99:36:a3","TCP","74","4e:83:fc:5d:2f:1f","[TCP Retransmission] 80  >  60720 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=3927819000 TSecr=2356592158 WS=128"
"157","0.063383885","10.10.0.1","12.12.0.12","4e:83:fc:5d:2f:1f","TCP","66","9e:76:f9:99:36:a3","60720  >  80 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2356592158 TSecr=3927819000"
"158","0.069251590","10.10.0.1","12.12.0.12","4e:83:fc:5d:2f:1f","TCP","464","9e:76:f9:99:36:a3","[TCP Retransmission] 60720  >  80 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=398 TSval=2356592159 TSecr=3927819000"
"159","0.069395098","12.12.0.12","10.10.0.1","9e:76:f9:99:36:a3","TCP","66","4e:83:fc:5d:2f:1f","80  >  60720 [ACK] Seq=1 Ack=399 Win=64768 Len=0 TSval=3927819001 TSecr=2356592159"
"160","0.070493763","12.12.0.12","10.10.0.1","9e:76:f9:99:36:a3","TCP","453","4e:83:fc:5d:2f:1f","[TCP Retransmission] 80  >  60720 [PSH, ACK] Seq=1 Ack=399 Win=64768 Len=387 TSval=3927819008 TSecr=2356592159"
